SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_16,16_49_17,28.04442,1,0,0,2,1.000059,0,1.000059
0,10_16,16_49_18,29.06615,1,0,0,2,1.010775,4,1.010775
0,10_16,16_49_19,30.08768,1,0,0,2,1.010189,0,1.010189
0,10_16,16_49_20,31.10953,1,0,0,2,1.010443,1,1.010443
0,10_16,16_49_21,32.1315,1,0,0,2,1.010687,2,1.010687
0,10_16,16_49_22,33.15289,1,0,0,2,1.010628,1,1.010628
0,10_16,16_49_23,34.17477,1,0,0,2,1.010574,2,1.010574
0,10_16,16_49_24,35.19357,1,0,0,2,1.007317,0,1.007317
0,10_16,16_49_25,36.20712,1,0,0,2,1.001999,4,1.001999
0,10_16,16_49_26,37.22894,1,0,0,2,1.010624,4,1.010624
0,10_16,16_49_27,38.24829,1,0,0,2,1.008053,0,1.008053
0,10_16,16_49_28,39.26111,1,0,0,2,1.000248,2,1.000248
0,10_16,16_49_29,40.28309,1,0,0,2,1.010582,5,1.010582
0,10_16,16_49_30,41.30225,1,0,0,2,1.007374,5,1.007374
0,10_16,16_49_31,42.31557,1,0,0,2,1.001831,4,1.001831
0,10_16,16_49_32,43.33733,1,0,0,2,1.010845,2,1.010845
0,10_16,16_49_33,44.35896,1,0,0,2,1.010735,5,1.010735
0,10_16,16_49_34,45.38084,1,0,0,2,1.009995,0,1.009995
0,10_16,16_49_35,46.40273,1,0,0,2,1.010841,4,1.010841
0,10_16,16_49_36,47.42431,1,0,0,2,1.010464,2,1.010464
0,10_16,16_49_37,48.44598,1,0,0,2,1.010426,0,1.010426
0,10_16,16_49_38,49.46762,1,0,0,2,1.009808,4,1.009808
0,10_16,16_49_39,50.48964,1,0,0,2,1.010723,2,1.010723
0,10_16,16_49_40,51.51154,1,0,0,2,1.010983,0,1.010983
0,10_16,16_49_41,52.533,1,0,0,2,1.010437,4,1.010437
0,10_16,16_49_42,53.55494,1,0,0,2,1.010605,3,1.010605
0,10_16,16_49_43,54.57658,1,0,0,2,1.010468,3,1.010468
0,10_16,16_49_44,55.59825,1,0,0,2,1.010284,3,1.010284
0,10_16,16_49_45,56.62024,1,0,0,2,1.01001,3,1.01001
0,10_16,16_49_46,57.64191,1,0,0,2,1.010502,5,1.010502
0,10_16,16_49_47,58.66358,1,0,0,2,1.010448,5,1.010448
0,10_16,16_49_48,59.68546,1,0,0,2,1.010479,4,1.010479
0,10_16,16_49_49,60.707,1,0,0,2,1.01046,2,1.01046
0,10_16,16_49_50,61.72896,1,0,0,2,1.010571,4,1.010571
0,10_16,16_49_51,62.75062,1,0,0,2,1.010307,3,1.010307
0,10_16,16_49_52,63.77286,1,0,0,2,1.010254,5,1.010254
0,10_16,16_49_53,64.7907,1,0,0,2,1.006901,5,1.006901
0,10_16,16_49_54,65.80489,1,0,0,2,1.002945,2,1.002945
0,10_16,16_49_55,66.82163,1,0,0,2,1.005547,5,1.005547
0,10_16,16_49_56,67.83743,1,0,0,2,1.004257,2,1.004257
0,10_16,16_49_57,68.85924,1,0,0,2,1.010521,0,1.010521
0,10_16,16_49_58,69.88075,1,0,0,2,1.010139,3,1.010139
0,10_16,16_49_59,70.90164,1,0,0,2,1.00975,5,1.00975
0,10_16,16_50_0,71.91332,1,0,0,2,1.000374,5,1.000374
0,10_16,16_50_1,72.9352,1,0,0,2,1.010834,5,1.010834
0,10_16,16_50_2,73.95692,1,0,0,2,1.010384,3,1.010384
0,10_16,16_50_4,74.97853,1,0,0,2,1.010521,4,1.010521
0,10_16,16_50_5,75.99792,1,0,0,2,1.007988,5,1.007988
0,10_16,16_50_6,77.01093,1,0,0,2,1.001984,3,1.001984
0,10_16,16_50_7,78.03293,1,0,0,2,1.010567,1,1.010567
0,10_16,16_50_8,79.05512,1,0,0,2,1.011223,5,1.011223
0,10_16,16_50_9,80.07626,1,0,0,2,1.010521,1,1.010521
0,10_16,16_50_10,81.09793,1,0,0,2,1.010414,4,1.010414
0,10_16,16_50_11,82.11961,1,0,0,2,1.010437,0,1.010437
0,10_16,16_50_12,83.14164,1,0,0,2,1.010788,5,1.010788
0,10_16,16_50_13,84.16296,1,0,0,2,1.010284,0,1.010284
0,10_16,16_50_14,85.18503,1,0,0,2,1.01075,5,1.01075
0,10_16,16_50_15,86.20718,1,0,0,2,1.010803,3,1.010803
0,10_16,16_50_16,87.22881,1,0,0,2,1.010994,0,1.010994
0,10_16,16_50_17,88.25037,1,0,0,2,1.009956,2,1.009956
0,10_16,16_50_18,89.27275,1,0,0,2,1.011147,4,1.011147
0,10_16,16_50_19,90.28281,1,0,0,2,1.000275,0,1.000275
0,10_16,16_50_20,91.30473,1,0,0,2,1.009758,4,1.009758
0,10_16,16_50_21,92.32301,1,0,0,2,1.007248,3,1.007248
0,10_16,16_50_22,93.33731,1,0,0,2,1.003113,1,1.003113
0,10_16,16_50_23,94.35876,1,0,0,2,1.010529,2,1.010529
0,10_16,16_50_24,95.38048,1,0,0,2,1.010506,0,1.010506
0,10_16,16_50_25,96.40247,1,0,0,2,1.01062,1,1.01062
0,10_16,16_50_26,97.42394,1,0,0,2,1.010445,0,1.010445
0,10_16,16_50_27,98.44585,1,0,0,2,1.01046,0,1.01046
0,10_16,16_50_28,99.46767,1,0,0,2,1.010643,0,1.010643
0,10_16,16_50_29,100.4855,1,0,0,2,1.006943,2,1.006943
0,10_16,16_50_30,101.4984,1,0,0,2,1.00135,3,1.00135
0,10_16,16_50_31,102.5105,1,0,0,2,1.001656,0,1.001656
0,10_16,16_50_32,103.5325,1,0,0,2,1.010521,3,1.010521
0,10_16,16_50_33,104.5536,1,0,0,2,1.009949,0,1.009949
0,10_16,16_50_34,105.5648,1,0,0,2,1.00032,4,1.00032
0,10_16,16_50_35,106.5865,1,0,0,2,1.010612,5,1.010612
0,10_16,16_50_36,107.6083,1,0,0,2,1.010597,5,1.010597
0,10_16,16_50_37,108.6302,1,0,0,2,1.010574,4,1.010574
0,10_16,16_50_38,109.6522,1,0,0,2,1.010185,4,1.010185
0,10_16,16_50_39,110.6739,1,0,0,2,1.010796,1,1.010796
0,10_16,16_50_40,111.6953,1,0,0,2,1.007217,5,1.007217
0,10_16,16_50_41,112.7064,1,0,0,2,1.000038,3,1.000038
0,10_16,16_50_42,113.728,1,0,0,2,1.010742,0,1.010742
0,10_16,16_50_43,114.7496,1,0,0,2,1.010277,5,1.010277
0,10_16,16_50_44,115.7716,1,0,0,2,1.010735,5,1.010735
0,10_16,16_50_45,116.793,1,0,0,2,1.010437,2,1.010437
0,10_16,16_50_46,117.8148,1,0,0,2,1.010315,3,1.010315
0,10_16,16_50_47,118.8365,1,0,0,2,1.01059,0,1.01059
0,10_16,16_50_48,119.8587,1,0,0,2,1.010933,5,1.010933
0,10_16,16_50_49,120.8801,1,0,0,2,1.010429,3,1.010429
0,10_16,16_50_50,121.9018,1,0,0,2,1.010315,2,1.010315
0,10_16,16_50_51,122.9238,1,0,0,2,1.010681,3,1.010681
0,10_16,16_50_52,123.9456,1,0,0,2,1.010643,2,1.010643
0,10_16,16_50_54,124.9672,1,0,0,2,1.010445,4,1.010445
0,10_16,16_50_55,125.9891,1,0,0,2,1.01062,1,1.01062
0,10_16,16_50_56,127.0107,1,0,0,2,1.01078,1,1.01078
0,10_16,16_50_57,128.0327,1,0,0,2,1.010292,1,1.010292
0,10_16,16_50_58,129.0545,1,0,0,2,1.010468,3,1.010468
0,10_16,16_50_59,130.0754,1,0,0,2,1.009766,3,1.009766
0,10_16,16_51_0,131.0978,1,0,0,2,1.011032,2,1.011032
0,10_16,16_51_1,132.1197,1,0,0,2,1.010574,0,1.010574
0,10_16,16_51_2,133.1416,1,0,0,2,1.010696,4,1.010696
0,10_16,16_51_3,134.1631,1,0,0,2,1.010422,4,1.010422
0,10_16,16_51_4,135.1848,1,0,0,2,1.010254,5,1.010254
0,10_16,16_51_5,136.2065,1,0,0,2,1.010544,3,1.010544
0,10_16,16_51_6,137.2281,1,0,0,2,1.010635,0,1.010635
0,10_16,16_51_7,138.2501,1,0,0,2,1.010544,0,1.010544
0,10_16,16_51_8,139.2725,1,0,0,2,1.011322,0,1.011322
0,10_16,16_51_9,140.2941,1,0,0,2,1.011139,2,1.011139
